element_type,osmid,geometry,nodes,landuse,amenity,bus,bus_station,name,network,network:wikidata,network:wikipedia,operator,operator:en,public_transport,store,tourism,source,wikipedia,addr:city,addr:housenumber,addr:state,addr:street,ele,park_ride,public_transport:version,addr:postcode,toilets:wheelchair,wheelchair
way,33067041,"POLYGON ((-112.0641222 33.5757972, -112.0641159 33.5754454, -112.0642947 33.5754339, -112.0642869 33.5753502, -112.0642957 33.5751435, -112.0643349 33.5750279, -112.0644325 33.5750286, -112.0644789 33.575029, -112.0644959 33.5750291, -112.0650292 33.5750333, -112.065171 33.5750355, -112.0651695 33.575131, -112.0651667 33.5753083, -112.0651615 33.5756282, -112.0650502 33.5757053, -112.065049 33.5758062, -112.0641222 33.5757972))","[373012805, 373012806, 373012807, 373012809, 373012810, 373012811, 372837523, 4987516645, 405086887, 3006456230, 41741582, 3006456232, 4987516646, 4987516211, 9859069126, 9859069124, 373012805]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,34220868,"POLYGON ((-112.0718098 33.5686142, -112.0717763 33.5685934, -112.0717677 33.5685713, -112.0717729 33.5678834, -112.0717926 33.5678526, -112.0718166 33.5678397, -112.0718449 33.5678376, -112.0730079 33.567833, -112.0730071 33.5682056, -112.0722698 33.5682056, -112.0722648 33.5686146, -112.0718329 33.5686185, -112.0718098 33.5686142))","[10074079624, 10074079625, 10074079626, 10074079627, 10074079628, 10074079629, 10074079630, 911385855, 392451344, 392451545, 10074079622, 10074079623, 10074079624]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,77438611,"POLYGON ((-112.0740651 33.5686181, -112.0747732 33.5686136, -112.0747786 33.5681845, -112.0752131 33.568189, -112.0752185 33.5678225, -112.0741563 33.5678582, -112.0740437 33.5679163, -112.0740651 33.5686181))","[911385889, 911385890, 911385891, 911385892, 911385893, 911385894, 911385895, 911385889]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,77438612,"POLYGON ((-112.0760607 33.5685153, -112.0760392 33.5686494, -112.0759963 33.5688014, -112.0759266 33.568931, -112.0757388 33.5687701, -112.0754706 33.5686583, -112.0752721 33.5686226, -112.0750575 33.5686047, -112.0748322 33.5686136, -112.0748322 33.5682471, -112.0752185 33.5682426, -112.0752131 33.568189, -112.0752185 33.5678225, -112.0759963 33.567818, -112.0760392 33.5678582, -112.0760607 33.5685153))","[911385896, 911385897, 911385898, 911385899, 911385900, 911385901, 911385902, 911385903, 911385904, 911385905, 911385906, 911385892, 911385893, 911385907, 911385908, 911385896]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,77438629,"POLYGON ((-112.0747717 33.5687433, -112.0747787 33.5691176, -112.0744439 33.5691176, -112.0740242 33.5691153, -112.0740329 33.5688277, -112.0740383 33.5687388, -112.0746552 33.5687433, -112.0747717 33.5687433))","[911386004, 392455819, 392458924, 911386005, 911386006, 911386007, 911386008, 911386004]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,324034725,"POLYGON ((-112.068271 33.5672364, -112.0695217 33.567237, -112.0695368 33.5672366, -112.0695453 33.5665721, -112.0695189 33.566572, -112.0688442 33.5665764, -112.0688026 33.5665757, -112.0688053 33.5666821, -112.0688 33.5667881, -112.0687819 33.5668307, -112.0687451 33.5668696, -112.0687022 33.566894, -112.068648 33.5669072, -112.0682747 33.5669072, -112.068271 33.5672364))","[3307881654, 3307881655, 10074079561, 10074079560, 3307881621, 3307881624, 3307881623, 3307881628, 3307881631, 3307881634, 3307881635, 3307881639, 3307881641, 3307881640, 3307881654]",commercial,bus_station,yes,station,Sunnyslope Transit Center,Valley Metro Org,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,station,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,327010899,"POLYGON ((-112.0824309 33.5681262, -112.0824362 33.5676882, -112.0823933 33.5676502, -112.0823477 33.5676301, -112.0819206 33.5676475, -112.081926 33.5679776, -112.0824309 33.5681262))","[3337246525, 3337246526, 3337246527, 3337246528, 3337246529, 3337246530, 3337246525]",commercial,,,,Dunlap Automotive,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1010727132,"POLYGON ((-112.0831757 33.5680672, -112.0831729 33.5676477, -112.0827226 33.5676489, -112.0826667 33.5677025, -112.0826611 33.5680684, -112.0831757 33.5680672))","[9324986737, 9324986738, 9324986739, 9324986740, 9324986741, 9324986737]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1011051897,"POLYGON ((-112.0651473 33.565507, -112.0651556 33.5650585, -112.0643891 33.5650608, -112.0641796 33.56506, -112.0641738 33.5655121, -112.0651473 33.565507))","[9327942355, 9327942356, 10060042023, 9327942357, 9327942358, 9327942355]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1012821099,"POLYGON ((-112.0771389 33.5704373, -112.0770992 33.5705575, -112.0770862 33.5712591, -112.0787651 33.5712439, -112.0787466 33.5708846, -112.0776733 33.5709121, -112.0776775 33.5705269, -112.0775681 33.5705132, -112.0771389 33.5704373))","[911385834, 9344206511, 9344206512, 9344206513, 8632276921, 8632276924, 8632276923, 911385833, 911385834]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1018937228,"POLYGON ((-112.0645045 33.5603879, -112.0650595 33.5604607, -112.0651414 33.5604588, -112.0651718 33.5604413, -112.0651788 33.55911, -112.0644839 33.559121, -112.0645045 33.5603879))","[9398168643, 9398168634, 9398168635, 9398168636, 9398168637, 9398168638, 9398168643]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1018937229,"POLYGON ((-112.0651788 33.55911, -112.0651531 33.5579034, -112.0644841 33.5576462, -112.0644824 33.557697, -112.0644839 33.559121, -112.0651788 33.55911))","[9398168637, 9398168639, 9398168640, 9398168641, 9398168638, 9398168637]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
way,1098712873,"POLYGON ((-112.0811522 33.57153, -112.080758 33.5715296, -112.0807611 33.5713832, -112.0807657 33.571371, -112.0807927 33.5713512, -112.0808273 33.5713409, -112.0808828 33.5713396, -112.0815182 33.5713364, -112.0815467 33.5713422, -112.0815698 33.5713627, -112.0815814 33.5713832, -112.0815822 33.5714147, -112.0815768 33.5718539, -112.0811545 33.5718549, -112.0811522 33.57153))","[2311425752, 10059990837, 10059990838, 10059990839, 10059990840, 10059990841, 10059990842, 10059990843, 10059990844, 10059990845, 10059990846, 10059990847, 10059990830, 10059990831, 2311425752]",commercial,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,
