element_type,osmid,highway,geometry,maxspeed,nodes,cycleway,lanes,lanes:backward,lanes:forward,name,smoothness,surface,centre_turn_lane,oneway,bridge,layer,lit,cycleway:both,turn:lanes:forward,turn:lanes:backward,destination,junction,lanes:both_ways,turn:lanes:both_ways,note:lanes,postal_code,turn:lanes,store,note,cycleway:right,alt_name,ref,bicycle,destination:ref,hov:lanes,surface:note,tiger:cfcc,tiger:county,tiger:name_base_1,tiger:reviewed,destination:lanes,motor_vehicle:lanes,junction:ref,maxspeed:advisory,source,postal_code:left,postal_code:right,cycleway:left,adot_name,hgv,hov,hov:conditional,motor_vehicle,motor_vehicle:conditional,name_1,destination:street,tiger:name_base,tiger:name_direction_prefix,tiger:name_type,sidewalk,cycleway:right:lane,name:en,name:es,noref,old_ref,tunnel,destination:ref:to,sidewalk:right:surface,shoulder,traffic_sign,check_date,access,oneway:bicycle,hov:minimum,ref:left,ref:right,horse,foot
way,5620925,secondary,"LINESTRING (-112.0825441 33.5688903, -112.0825441 33.5689124, -112.0825397 33.5691278, -112.0825345 33.5694086, -112.0825325 33.5695585, -112.082532 33.5696886)",40 mph,"[392134737, 1557877044, 8554132434, 41555085, 41555125, 5157212982]",lane,4,2,2,North 7th Avenue,good,asphalt,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5634052,secondary,"LINESTRING (-112.0662668 33.5677618, -112.0663054 33.5677605, -112.0665976 33.5677575, -112.0666339 33.567756, -112.066924 33.5677566, -112.0673993 33.5677522)",35 mph,"[4347433336, 2272782959, 3935244788, 7642059956, 2272782957, 41872975]",,6,2,3,East Dunlap Avenue,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5667381,secondary,"LINESTRING (-112.0739073 33.56773, -112.07397 33.5677295)",35 mph,"[3307881660, 3307881659]",,6,,,West Dunlap Avenue,good,asphalt,yes,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071256,primary,"LINESTRING (-112.0652773 33.5573866, -112.0652774 33.5575759)",40 mph,"[41741541, 390416138]",,6,2,3,North 7th Street,good,asphalt,yes,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071265,primary,"LINESTRING (-112.0652774 33.5575759, -112.0652775 33.5576209, -112.065279 33.5577202)",40 mph,"[390416138, 1360443936, 41741546]",,6,2,3,North 7th Street,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071274,primary,"LINESTRING (-112.065279 33.5577202, -112.0652756 33.5578812)",40 mph,"[41741546, 390415070]",,6,2,3,North 7th Street,good,asphalt,yes,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071276,primary,"LINESTRING (-112.0652338 33.5667937, -112.0652332 33.566883, -112.065229 33.5670036, -112.0652294 33.5670245)",40 mph,"[390315084, 41741561, 390316094, 4347450514]",,6,,,North 7th Street,good,asphalt,yes,no,,,yes,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071317,secondary,"LINESTRING (-112.0739009 33.5621733, -112.073907 33.5625091)",35 mph,"[42029121, 42029126]",,4,,,North Central Avenue,good,asphalt,,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34071378,secondary,"LINESTRING (-112.0798229 33.5675953, -112.0803003 33.5675934)",35 mph,"[390416744, 11341770318]",,5,2,2,West Dunlap Avenue,excellent,asphalt,yes,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34186127,secondary,"LINESTRING (-112.0825437 33.5686101, -112.0825441 33.5688903)",40 mph,"[392133480, 392134737]",lane,4,2,2,North 7th Avenue,excellent,concrete,,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34186172,secondary,"LINESTRING (-112.0825436 33.5685023, -112.0825437 33.5686101)",,"[392133699, 392133480]",,4,2,2,North 7th Avenue,excellent,concrete,,no,,,,lane,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34186173,secondary,"LINESTRING (-112.082543 33.5682556, -112.0825436 33.5685023)",40 mph,"[392133669, 392133699]",lane,4,2,2,North 7th Avenue,good,asphalt,,no,yes,1,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34769259,secondary,"LINESTRING (-112.0738655 33.5743485, -112.0738089 33.5745363, -112.0737835 33.5748482)",35 mph,"[2420401423, 42029173, 1671405099]",,1,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,85128465,secondary,"LINESTRING (-112.081723 33.5675694, -112.081819 33.5675677, -112.0818618 33.5675669, -112.0820126 33.5675643, -112.0821146 33.5675625, -112.0822374 33.5675604, -112.082399 33.5675576, -112.082541 33.567555)",40 mph,"[4347450515, 7048726735, 9843863756, 7048726734, 9843885669, 7048726732, 2458568003, 41769482]",,6,3,3,West Dunlap Avenue,good,asphalt,yes,no,,,,,left||,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,131637170,secondary,"LINESTRING (-112.082541 33.567555, -112.0825425 33.5676664, -112.0825428 33.5678672, -112.0825429 33.567978, -112.0825431 33.5681414)",40 mph,"[41769482, 2458568009, 9843885672, 8518952940, 41769484]",lane,5,3,2,North 7th Avenue,good,asphalt,,no,,,,,,left||,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,233693558,secondary,"LINESTRING (-112.0737585 33.5750494, -112.0737613 33.575052, -112.0737796 33.5750611, -112.0738025 33.5750663, -112.0738292 33.5750655, -112.0738595 33.5750544, -112.0738632 33.575053, -112.0738855 33.5750325, -112.0738946 33.5750142, -112.0738968 33.57499, -112.0738922 33.5749744, -112.0738911 33.5749706)",15 mph,"[5967437645, 2420401455, 2420401457, 2420401459, 2420401458, 5967437646, 2420401456, 2420401448, 2420401447, 2420401443, 5967437647, 2420401440]",,1,,,,good,asphalt,,yes,,,,,,,East Mountain View Road;North Central Avenue;West Mountain View Road,roundabout,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
