element_type,osmid,highway,geometry,alt_name,bench,bin,bus,departures_board,lit,mapillary,name,network,network:wikidata,network:wikipedia,operator,operator:en,public_transport,public_transport:version,shelter,survey:date,route_ref,ref,source,image,tactile_paving,maxspeed,nodes,lanes,oneway,smoothness,surface,cycleway:both,lanes:backward,lanes:forward,lanes:both_ways,turn:lanes:both_ways,cycleway,junction,turn:lanes:backward,turn:lanes:forward,store,postal_code,foot,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_direction_prefix,tiger:name_direction_suffix,tiger:name_type,tiger:reviewed,bridge,turn:lanes,note,wheelchair,cycleway:left,layer,covered,cycleway:right,is_in,maxspeed:variable,centre_turn_lane,destination,bicycle,hgv,sidewalk:both,source:name,check_date:surface,traffic_sign,name:es,parking:lane:both,sidewalk,sidewalk:both:surface,parking:lane:left,sidewalk:right:surface,website,direction,check_date:bench,toilets:wheelchair,sidewalk:left:surface,shoulder,oneway:bicycle
node,3307877130,bus_stop,POINT (-112.068674 33.567028),East Puget Avenue and North 3rd Street,no,no,yes,no,no,761909227854751,DAR,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-09-29,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307877132,bus_stop,POINT (-112.068905 33.567024),East Puget Avenue and North 3rd Street,no,no,yes,no,no,541023317312563,SMART,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-09-29,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881683,bus_stop,POINT (-112.069355 33.5671207),East Puget Avenue and North 3rd Street,no,no,yes,no,no,,0,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,,0 SB;0 NB,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881685,bus_stop,POINT (-112.068808 33.5671195),East Puget Avenue and North 3rd Street,no,no,yes,no,no,,106,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,,106 EB;106 WB,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881687,bus_stop,POINT (-112.068591 33.567118),East Puget Avenue and North 3rd Street,no,no,yes,no,no,477051683596406,12,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-09-29,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881690,bus_stop,POINT (-112.069189 33.5670248),East Puget Avenue and North 3rd Street,no,no,yes,no,no,,8,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881691,bus_stop,POINT (-112.069079 33.5671187),East Puget Avenue and North 3rd Street,no,no,yes,no,no,771059026929202,90 East,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-09-29,,10119,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3307881694,bus_stop,POINT (-112.069372 33.5670255),East Puget Avenue and North 3rd Street,no,no,yes,no,no,5631138756961095,90 West,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-09-29,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625459,bus_stop,POINT (-112.065149 33.5588563),,,,yes,,,2929071267350275,10527,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,,platform,2,yes,2020-01-10,,10527,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625468,bus_stop,POINT (-112.065416 33.5601625),North 7th Street and East Butler Drive,yes,yes,yes,no,,508078067173839,,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,yes,2020-01-10,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625473,bus_stop,POINT (-112.065161 33.5608831),North 7th Street and East Butler Drive,no,no,yes,no,,1421628101503572,10528,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,no,2019-08-02,,10528,Mapillary,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625474,bus_stop,POINT (-112.065398 33.5638469),,yes,yes,yes,no,,284543460023923,,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,yes,2020-01-10,,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625475,bus_stop,POINT (-112.065134 33.5647144),,no,no,yes,no,,,10529,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,no,,,10529,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625476,bus_stop,POINT (-112.065127 33.5665239),,yes,yes,yes,no,,307698767550873,10530,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,yes,2019-06-25,,10530,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625485,bus_stop,POINT (-112.0654349 33.5673035),,yes,yes,yes,no,,,10572,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,yes,2018-07-02,,10572,,https://storage8.openstreetcam.org/files/photo/2018/7/2/lth/1259401_150_37869_35.jpg,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625491,bus_stop,POINT (-112.064606 33.5681319),North Cave Creek Road and North 7th Street,yes,yes,yes,no,,813893479503367,,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-04-22,,18311,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625500,bus_stop,POINT (-112.065732 33.5679888),North Cave Creek Road and North 7th Street,yes,yes,yes,no,,1124671564673777,,Valley Metro,Q3553869,en:Valley Metro,Valley Metro Org,Valley Metro Org,platform,2,yes,2019-02-26,90 WB,15325,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625504,bus_stop,POINT (-112.065077 33.5686724),,yes,yes,yes,no,,511309080279293,10531,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,yes,2019-04-20,,10531,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4810625511,bus_stop,POINT (-112.064731 33.5713171),East Hatcher Road and North 7th Street,no,no,yes,realtime,,840675876830077,10919,Valley Metro,Q3553869,,Valley Metro Org,,platform,2,no,2018-12-04,,10919,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
