element_type,osmid,name,address,geometry,building:levels,store_location,city_location
way,33881655,Walmart Neighborhood Market,"115 E Dunlap Ave, Phoenix","POLYGON ((-112.0725772 33.5667405, -112.0725149 33.5667429, -112.0719143 33.5667421, -112.0718413 33.5667414, -112.0718413 33.5667293, -112.0718411 33.5665766, -112.0718406 33.5662516, -112.0725764 33.5662509, -112.0725769 33.566557, -112.0725772 33.5667405))",1,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix","Phoenix, Arizona"
way,65742643,Walmart Supercenter,"4747 E Cactus Rd, Phoenix","POLYGON ((-111.9779737 33.5957764, -111.9779923 33.5964672, -111.9783078 33.5964613, -111.9783082 33.5964767, -111.9783643 33.5964757, -111.9783652 33.5965108, -111.9784418 33.5965094, -111.978441 33.5964784, -111.9785085 33.5964773, -111.9785083 33.5964672, -111.9788945 33.5964608, -111.9788948 33.5964763, -111.9790841 33.5964733, -111.9790837 33.5964544, -111.9792823 33.5964554, -111.9792745 33.5959296, -111.9792713 33.5957658, -111.9791654 33.5957675, -111.979165 33.5957542, -111.9779737 33.5957764))",1,"Walmart Supercenter, 4747 E Cactus Rd, Phoenix","Phoenix, Arizona"
way,67122000,Target,"21001 N Tatum Blvd, Phoenix","POLYGON ((-111.9734896 33.6745466, -111.9735383 33.6740884, -111.973549 33.6739934, -111.9735904 33.6739967, -111.9735934 33.6739632, -111.973697 33.6739696, -111.9737077 33.6738346, -111.9750864 33.6739389, -111.9750643 33.6741276, -111.9752262 33.6741387, -111.9752011 33.6743756, -111.9750398 33.674365, -111.9750122 33.6746258, -111.9750041 33.6747022, -111.9749952 33.6747869, -111.9749723 33.6747852, -111.97497 33.6748008, -111.9747802 33.6747865, -111.9747815 33.67477, -111.9747712 33.6747692, -111.9747656 33.6748415, -111.9745456 33.674826, -111.9745519 33.6747574, -111.9745415 33.6747571, -111.9745405 33.6747705, -111.9744805 33.6747735, -111.9744141 33.6747749, -111.9743514 33.6747724, -111.9742874 33.6747668, -111.9742217 33.6747559, -111.974162 33.6747417, -111.9741623 33.6747274, -111.97415 33.6747267, -111.9741443 33.6747939, -111.9739243 33.6747789, -111.9739297 33.6747063, -111.9739223 33.6747061, -111.9739204 33.6747235, -111.9737048 33.6747077, -111.9737121 33.674637, -111.9734863 33.6746206, -111.9734896 33.6745466))",,"Target, 21001 N Tatum Blvd, Phoenix","Phoenix, Arizona"
way,73054799,Target,"7409 W Virginia Ave, Phoenix","POLYGON ((-112.2186414 33.475141, -112.2177035 33.4751326, -112.2177021 33.4752955, -112.217673 33.4752953, -112.2176724 33.4753662, -112.2175442 33.4753654, -112.2175365 33.4762228, -112.2185167 33.4762288, -112.2185171 33.4761796, -112.2185462 33.4761798, -112.2185487 33.4759066, -112.2186023 33.4759069, -112.2186055 33.4755526, -112.2186377 33.4755528, -112.2186403 33.475269, -112.2186628 33.4752691, -112.2186634 33.4751998, -112.2186409 33.4751996, -112.2186414 33.475141))",1,"Target, 7409 W Virginia Ave, Phoenix","Phoenix, Arizona"
way,127013604,Walmart Supercenter,"1825 W Bell Rd, Phoenix","POLYGON ((-112.0992023 33.6377499, -112.098591 33.6377544, -112.0985894 33.6375966, -112.0984756 33.6375975, -112.0984773 33.6377554, -112.0981318 33.637758, -112.0981311 33.6376873, -112.0976989 33.6376906, -112.0976997 33.6377609, -112.0972774 33.6377641, -112.0972767 33.6376998, -112.0970939 33.6377012, -112.0970931 33.6376302, -112.0969861 33.637631, -112.0969849 33.6375239, -112.097076 33.6375233, -112.0970676 33.6367492, -112.0975727 33.6367454, -112.0975709 33.6365814, -112.098062 33.6365777, -112.0980639 33.6367547, -112.0989308 33.6367481, -112.0989319 33.6368535, -112.099294 33.6368507, -112.0992951 33.636952, -112.0990261 33.6369541, -112.0990289 33.6372156, -112.0992387 33.637214, -112.0992429 33.6376038, -112.0992008 33.6376041, -112.0992023 33.6377499))",,"Walmart Supercenter, 1825 W Bell Rd, Phoenix","Phoenix, Arizona"
way,129591176,Walmart Supercenter,"5250 W Indian School Rd, Phoenix","POLYGON ((-112.171742 33.4973485, -112.171742 33.4964307, -112.1719682 33.4964307, -112.1719682 33.4963049, -112.1721391 33.4963049, -112.1721391 33.4962462, -112.1722748 33.4962463, -112.1722748 33.4962966, -112.1724456 33.4962966, -112.1724456 33.4962463, -112.1727271 33.4962463, -112.1727271 33.4963008, -112.172903 33.4963008, -112.172903 33.4962463, -112.1730337 33.4962463, -112.1730337 33.4963008, -112.1731342 33.4963008, -112.1731342 33.4964391, -112.1734961 33.4964391, -112.1734961 33.4963909, -112.1732787 33.4963909, -112.1732787 33.4962617, -112.1738854 33.4962617, -112.1738854 33.496678, -112.1735011 33.496678, -112.1735011 33.4969378, -112.1737725 33.4969378, -112.1737725 33.4970803, -112.1735011 33.4970803, -112.1735011 33.4973486, -112.171742 33.4973485))",,"Walmart Supercenter, 5250 W Indian School Rd, Phoenix","Phoenix, Arizona"
way,131244540,Target,"9830 W Lower Buckeye Rd, Tolleson","POLYGON ((-112.269425 33.42442, -112.2687023 33.4238391, -112.2688002 33.4237542, -112.2687262 33.4236948, -112.2687631 33.4236629, -112.2686082 33.4235384, -112.2692386 33.4229921, -112.269408 33.4231282, -112.2694391 33.4231013, -112.2695861 33.4232195, -112.2695157 33.4232805, -112.2699495 33.4236292, -112.2699956 33.4235893, -112.2701353 33.4237016, -112.2700893 33.4237415, -112.270244 33.4238659, -112.2701595 33.4239392, -112.2700662 33.4238642, -112.2698446 33.4240563, -112.2699621 33.4241507, -112.2697956 33.424295, -112.2696781 33.4242006, -112.269425 33.42442))",,"Target, 9830 W Lower Buckeye Rd, Tolleson","Phoenix, Arizona"
way,131244548,Kohl's,"3000-3010 S 99th Ave, Tolleson","POLYGON ((-112.273884 33.4188859, -112.2742408 33.4188859, -112.2742394 33.4190861, -112.2747039 33.4190809, -112.2747208 33.4199587, -112.2745772 33.419961, -112.2745776 33.4199785, -112.2744874 33.4199799, -112.274487 33.4199624, -112.2743865 33.419964, -112.2743869 33.4199824, -112.2743443 33.4199831, -112.2743449 33.4200094, -112.2741966 33.4200118, -112.274196 33.4199855, -112.2741579 33.4199861, -112.2741575 33.4199677, -112.2739097 33.4199716, -112.2738995 33.4195267, -112.27387 33.4195272, -112.2738647 33.4192952, -112.2738942 33.4192948, -112.2738898 33.419102, -112.2738611 33.4191025, -112.2738594 33.4190272, -112.2738881 33.4190268, -112.273884 33.4188859))",,"Kohl's, 3000-3010 S 99th Ave, Tolleson","Phoenix, Arizona"
way,137598736,Walmart Supercenter,"3721 E Thomas Rd, Phoenix","POLYGON ((-112.0000749 33.4791456, -112.0003436 33.4791456, -112.0003436 33.4792135, -112.0015206 33.4792135, -112.0015206 33.4791456, -112.0017211 33.4791456, -112.0017211 33.4792198, -112.0020958 33.4792198, -112.0020985 33.4790343, -112.0020959 33.4786801, -112.0018309 33.47868, -112.0018309 33.4783644, -112.0017174 33.4783644, -112.0017174 33.4782144, -112.0000068 33.478227, -111.999946 33.478256, -111.9999198 33.4783265, -112.0000749 33.478377, -112.0000749 33.478894, -112.0000749 33.4791456))",,"Walmart Supercenter, 3721 E Thomas Rd, Phoenix","Phoenix, Arizona"
way,152448046,Walmart Supercenter,"6145 N 35th Ave, Phoenix","POLYGON ((-112.1316314 33.5273234, -112.1316314 33.5272907, -112.1316312 33.5272187, -112.1316312 33.5271831, -112.1316298 33.5264071, -112.1318502 33.5264061, -112.1318523 33.526355, -112.1318493 33.5262663, -112.1320084 33.5262656, -112.1320511 33.5262652, -112.132109 33.5262648, -112.1321517 33.5262644, -112.1327694 33.5262588, -112.1328184 33.5262587, -112.1328703 33.5262586, -112.1329089 33.5262585, -112.1330132 33.5262585, -112.1330135 33.5263113, -112.1330141 33.5264006, -112.1333882 33.5263989, -112.1333879 33.5263492, -112.1331687 33.5263502, -112.1331679 33.526236, -112.1336538 33.5262339, -112.1336564 33.526638, -112.1333914 33.5266392, -112.133393 33.5268992, -112.1336447 33.5268981, -112.1336457 33.5270504, -112.1333862 33.5270515, -112.1333853 33.5272094, -112.1333853 33.5272314, -112.133385 33.5272932, -112.1333848 33.5273164, -112.1316314 33.5273234))",,"Walmart Supercenter, 6145 N 35th Ave, Phoenix","Phoenix, Arizona"
way,152725698,Walmart Supercenter,"7575 W Lower Buckeye Rd, Phoenix","POLYGON ((-112.2241285 33.4206704, -112.224124 33.4197356, -112.224003 33.4197376, -112.2240031 33.4198808, -112.2225442 33.419883, -112.2225444 33.4197616, -112.2223648 33.4197582, -112.2223691 33.4201517, -112.2221 33.4201551, -112.2221018 33.4203099, -112.2223736 33.4203085, -112.2223766 33.4205568, -112.2221185 33.4205581, -112.2221135 33.4207401, -112.2223629 33.4207389, -112.2223634 33.4208144, -112.2227382 33.4208126, -112.2227391 33.4209513, -112.2239072 33.4209458, -112.2239028 33.4208044, -112.2241281 33.4208007, -112.2241285 33.4206704))",,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix","Phoenix, Arizona"
way,155465112,Walmart Supercenter,"2020 N 75th Ave, Phoenix","POLYGON ((-112.2240468 33.4716513, -112.2237749 33.471657, -112.2237757 33.4717504, -112.2237351 33.4717515, -112.2237405 33.471956, -112.2235615 33.4719567, -112.2235572 33.4716565, -112.2233951 33.4716591, -112.2233905 33.4719134, -112.2231422 33.4719155, -112.2231432 33.4716615, -112.2230997 33.4716638, -112.2230886 33.471107, -112.2229263 33.4711102, -112.2229219 33.4710371, -112.2228792 33.4710371, -112.2228727 33.4709462, -112.2229219 33.4709425, -112.2229113 33.4703891, -112.2228671 33.4703882, -112.2228585 33.4701517, -112.2229001 33.4701505, -112.2228991 33.4701305, -112.2230652 33.4701361, -112.2230645 33.4699898, -112.2229898 33.469987, -112.2229844 33.4699425, -112.2232867 33.4699369, -112.2239397 33.4699341, -112.2241461 33.4698927, -112.2241641 33.4703941, -112.224024 33.4704028, -112.2240468 33.4716513))",,"Walmart Supercenter, 2020 N 75th Ave, Phoenix","Phoenix, Arizona"
way,203922301,Target,"4722 E Ray Rd #3, Phoenix","POLYGON ((-111.9816516 33.3221813, -111.9814638 33.3221659, -111.9814598 33.3222001, -111.9813812 33.3221936, -111.98137 33.3222893, -111.9804125 33.3222105, -111.9804158 33.3221826, -111.9800991 33.3221565, -111.9801477 33.3217449, -111.9803055 33.3217579, -111.9803527 33.321358, -111.9808371 33.3213979, -111.9808414 33.3213614, -111.9812542 33.3213955, -111.9812549 33.3213888, -111.9814235 33.3214027, -111.9814214 33.3213879, -111.9815413 33.3213941, -111.9816739 33.3214051, -111.9817423 33.3214106, -111.9817398 33.3214317, -111.9817139 33.3216517, -111.9816516 33.3221813))",,"Target, 4722 E Ray Rd #3, Phoenix","Phoenix, Arizona"
way,231608874,Walmart Supercenter,"6150 S 35th Ave, Phoenix","POLYGON ((-112.1375606 33.3912111, -112.1375589 33.3913605, -112.1364051 33.3913514, -112.1364037 33.3914724, -112.1362372 33.3914711, -112.1362385 33.391351, -112.1362315 33.3913509, -112.1362317 33.3913294, -112.1361965 33.3913292, -112.1361973 33.3912297, -112.136229 33.3912298, -112.1362293 33.391187, -112.1364249 33.3911881, -112.1364272 33.3908962, -112.136251 33.3908952, -112.1362523 33.3907407, -112.1362412 33.3907407, -112.136242 33.3906555, -112.1362489 33.3906555, -112.13625 33.3905557, -112.136282 33.390556, -112.1362829 33.3904758, -112.1363186 33.3904761, -112.1363233 33.3900698, -112.1362501 33.3900692, -112.1362528 33.3898349, -112.1363245 33.3898355, -112.1363258 33.3897166, -112.136367 33.3897169, -112.136501 33.389718, -112.1374615 33.3897258, -112.1374567 33.3901412, -112.137546 33.3901419, -112.1376344 33.3901426, -112.1376298 33.3905394, -112.137535 33.3905386, -112.1374468 33.3905379, -112.1374391 33.3912101, -112.1375606 33.3912111))",,"Walmart Supercenter, 6150 S 35th Ave, Phoenix","Phoenix, Arizona"
way,258237092,Kohl's,"17232 N 19th Ave, Phoenix","POLYGON ((-112.1019671 33.6423545, -112.1013592 33.6420642, -112.1013565 33.6420682, -112.1013231 33.6420522, -112.1013258 33.6420483, -112.101233 33.642004, -112.1013439 33.6418438, -112.101335 33.6418396, -112.1013486 33.6418199, -112.1013414 33.6418165, -112.1013551 33.6417966, -112.1013464 33.6417891, -112.1013656 33.6417651, -112.1013584 33.6417616, -112.1014394 33.6416446, -112.1014503 33.6416434, -112.1015334 33.6415232, -112.1015306 33.6415099, -112.1016106 33.6413941, -112.1016197 33.6413985, -112.1016345 33.6413771, -112.1016426 33.641381, -112.1016553 33.6413626, -112.1016625 33.6413661, -112.1016786 33.6413429, -112.1016875 33.6413472, -112.101784 33.6411899, -112.1024888 33.6415303, -112.1024862 33.6415342, -112.1025513 33.6415685, -112.1025522 33.6416993, -112.1023219 33.6420331, -112.1022272 33.6421682, -112.102119 33.6421145, -112.1019671 33.6423545))",,"Kohl's, 17232 N 19th Ave, Phoenix","Phoenix, Arizona"
way,443646715,Walmart Supercenter,"18551 N 83rd Ave &, W Union Hills Dr","POLYGON ((-112.233834 33.6514064, -112.2337959 33.6514065, -112.2337954 33.6513088, -112.233582 33.6513095, -112.2335186 33.6513097, -112.2335122 33.649942, -112.2346076 33.6499384, -112.2346085 33.6501234, -112.2347723 33.6501228, -112.2347723 33.6501332, -112.2348115 33.650133, -112.234812 33.6502576, -112.2348212 33.6502576, -112.2348213 33.6502725, -112.2348433 33.6502724, -112.2348438 33.6503607, -112.2347744 33.650361, -112.2347769 33.6508968, -112.2348255 33.6508967, -112.2348256 33.6509094, -112.2348474 33.6509093, -112.2348479 33.6510002, -112.2348181 33.6510003, -112.2348186 33.6510876, -112.2346148 33.6510883, -112.2346154 33.6512152, -112.2348105 33.6512146, -112.234813 33.6517528, -112.2343217 33.6517544, -112.234321 33.6516206, -112.2343124 33.6516206, -112.2343113 33.6514048, -112.2340224 33.6514057, -112.233834 33.6514064))",,"Walmart Supercenter, 18551 N 83rd Ave &, W Union Hills Dr","Phoenix, Arizona"
way,454943519,Target,"8055 W Bell Rd, Peoria","POLYGON ((-112.2289457 33.6359242, -112.2289379 33.635806, -112.2289809 33.6358056, -112.2289798 33.6357185, -112.2289367 33.6357188, -112.2289318 33.6353474, -112.2287377 33.6353492, -112.2287373 33.6353158, -112.2286533 33.6353165, -112.2286522 33.6352279, -112.2289053 33.6352256, -112.2289035 33.635089, -112.2282114 33.6350951, -112.2282131 33.6352275, -112.2277001 33.635232, -112.2277018 33.6353638, -112.2275737 33.6353649, -112.2275751 33.6354764, -112.2275398 33.6354767, -112.2275387 33.6353817, -112.2274524 33.6353825, -112.2274601 33.6360013, -112.2274522 33.6360014, -112.2274535 33.6361033, -112.2283616 33.6360954, -112.2283617 33.6361031, -112.2284317 33.6361025, -112.2284327 33.6361273, -112.2284401 33.6361306, -112.2284402 33.6361439, -112.2286243 33.6361421, -112.2286244 33.6361519, -112.2288035 33.6361501, -112.2288035 33.6361433, -112.2288674 33.6361427, -112.2288672 33.6361262, -112.228947 33.6361214, -112.2289457 33.6359242))",,"Target, 8055 W Bell Rd, Peoria","Phoenix, Arizona"
way,454943520,Target,"10404 N 43rd Ave, Glendale","POLYGON ((-112.1539456 33.5810506, -112.153014 33.5810436, -112.1530161 33.5808455, -112.1529879 33.5808453, -112.1529891 33.5806667, -112.1530446 33.580667, -112.1530473 33.5801325, -112.1530656 33.5801326, -112.1530656 33.5799294, -112.1532873 33.5799294, -112.1532873 33.5796872, -112.1534254 33.5796872, -112.1534253 33.5795652, -112.1537869 33.579565, -112.1537869 33.5796277, -112.1538235 33.5796378, -112.1538226 33.5797266, -112.1539598 33.5797277, -112.1539456 33.5810506))",,"Target, 10404 N 43rd Ave, Glendale","Phoenix, Arizona"
