neighborhoods,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix","Walmart Supercenter, 4747 E Cactus Rd, Phoenix","Target, 21001 N Tatum Blvd, Phoenix","Target, 7409 W Virginia Ave, Phoenix","Walmart Supercenter, 1825 W Bell Rd, Phoenix","Walmart Supercenter, 5250 W Indian School Rd, Phoenix","Target, 9830 W Lower Buckeye Rd, Tolleson","Kohl's, 3000-3010 S 99th Ave, Tolleson","Walmart Supercenter, 3721 E Thomas Rd, Phoenix","Walmart Supercenter, 6145 N 35th Ave, Phoenix","Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix","Walmart Supercenter, 2020 N 75th Ave, Phoenix","Target, 4722 E Ray Rd #3, Phoenix","Walmart Supercenter, 6150 S 35th Ave, Phoenix","Kohl's, 17232 N 19th Ave, Phoenix","Walmart Supercenter, 18551 N 83rd Ave &, W Union Hills Dr","Target, 8055 W Bell Rd, Peoria","Target, 10404 N 43rd Ave, Glendale","Target, 4515 E Thomas Rd, Phoenix","Kohl's, 21001 N Tatum Blvd, Phoenix","Walmart Supercenter, 1607 W Bethany Home Rd, Phoenix","Target, 5715 N 19th Ave, Phoenix","Target, 2727 W Agua Fria Fwy, Phoenix","Walmart Supercenter, 9600 N Metro Pkwy W, Phoenix","Walmart Supercenter, 2501 W Happy Valley Rd Suite 34, Phoenix","Marshalls, 4729 E Ray Rd, Phoenix","Target, 2140 E Baseline Rd, Phoenix","Walmart Neighborhood Market, 2435 E Baseline Rd, Phoenix","Marshalls, 21001 N Tatum Blvd, Phoenix","Marshalls, 10130 W McDowell Rd, Avondale"
Maryvale,38,42,43,6,37,11,23,24,35,28,19,7,40,28,36,28,29,33,35,46,31,37,35,32,38,41,38,38,45,19
North Mountain,11,26,22,33,9,29,39,39,34,19,32,32,39,31,12,21,24,16,35,24,19,22,14,10,16,40,37,37,24,34
Ahwatukee Foothills,47,48,50,36,48,40,37,36,38,43,30,35,19,28,47,49,49,51,35,53,43,43,48,43,51,18,36,36,53,37
Rio Vista,40,42,33,55,29,50,57,58,54,40,54,54,59,52,28,35,40,38,56,36,40,40,24,31,24,61,59,59,36,48
Desert View,38,41,34,53,27,48,55,56,52,38,52,52,58,50,27,31,34,36,54,34,39,38,22,30,22,59,57,57,33,46
Laveen,38,41,43,24,36,28,23,22,34,31,18,23,28,9,35,36,36,39,35,46,30,31,36,32,39,30,23,23,46,25
Camelback East,24,22,26,37,39,37,43,43,7,37,36,36,31,34,38,38,42,42,11,29,25,24,30,35,34,33,32,32,29,38
Alhambra,17,30,24,24,16,20,30,30,26,9,23,23,30,22,14,24,27,18,27,27,6,6,16,11,19,31,29,29,26,25
South Mountain,36,37,38,32,35,32,38,39,30,30,35,31,26,19,34,43,45,38,30,41,29,29,35,30,38,27,7,8,40,33
Deer Valley,23,26,17,37,12,33,39,40,37,22,35,36,42,34,11,15,18,21,38,20,24,23,4,15,9,43,41,41,20,31
Estrella,31,35,36,17,30,21,17,17,28,24,8,16,28,14,28,29,30,32,28,39,24,24,30,25,33,29,34,34,38,18
North Gateway,30,32,23,43,18,38,47,47,43,28,42,42,48,41,18,22,25,28,44,25,29,29,13,21,14,49,47,48,25,38
Paradise Valley,18,9,12,38,21,38,43,44,26,34,36,37,33,35,23,24,27,30,30,15,22,23,16,23,19,34,32,32,14,38
Central City,25,26,27,29,29,29,35,36,19,24,28,28,20,21,28,37,42,31,20,30,23,23,29,24,32,21,19,19,30,30
Encanto,20,25,27,27,29,25,33,34,18,23,26,26,28,26,27,37,47,31,23,30,14,15,29,24,32,30,28,28,29,28
