element_type,osmid,geometry,bicycle,crossing,highway,horse,crossing:markings,ford,intermittent,crossing:island,tactile_paving,nodes,smoothness,surface,foot,layer,segregated,tunnel,width,cycleway,lanes,note,access,description,historic,name,website,footway,motor_vehicle,lit,bridge,operator,service,store,postal_code,oneway,source,road_marking,covered,button_operated,wheelchair,access_aisle,ski,snowmobile,public_transport,public_transport:version,railway,addr:city,addr:country,addr:housenumber,addr:state,addr:street,incline,step_count,check_date,dog,stroller,indoor,level,ramp,handrail
way,33413641,"LINESTRING (-112.0621808 33.5658822, -112.0620764 33.5658482, -112.0619305 33.5658196, -112.0618017 33.5658053, -112.0616644 33.5657839, -112.0615357 33.5657696, -112.0614155 33.5657481, -112.0613125 33.5657124, -112.0612438 33.5656981, -112.0612095 33.5656551, -112.0611666 33.5655908, -112.061158 33.5655336, -112.0611766 33.5654674)",,,footway,,,,,,,"[380018968, 380186872, 380186873, 380186875, 380186878, 380186880, 380186883, 380186885, 380186888, 380186890, 380186893, 380186895, 380004189]",intermediate,dirt,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33413830,"LINESTRING (-112.062661 33.564921, -112.0626 33.56499, -112.0625656 33.5650544, -112.0625485 33.5650901, -112.0625227 33.5651617, -112.0624369 33.5652046, -112.0623768 33.5652332, -112.0623267 33.5652243)",,,footway,,,,,,,"[380187597, 380187774, 380187775, 380187776, 380187777, 380187778, 380187779, 380004256]",intermediate,dirt,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33413851,"LINESTRING (-112.0626952 33.5648084, -112.0627375 33.5647735, -112.0628257 33.5647663, -112.0629159 33.5647897, -112.0629519 33.564847, -112.062969 33.5649042, -112.062969 33.5649471, -112.0629734 33.5649711)",,,footway,,,,,,,"[380182266, 380187914, 380187915, 380187916, 380187917, 380187918, 380187919, 380187920]",intermediate,dirt,,,,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34080816,"LINESTRING (-112.0799851 33.5677736, -112.0797037 33.5676282, -112.0795259 33.5675206, -112.0794587 33.5674756)",designated,,cycleway,designated,,,,,,"[390534551, 390534525, 8958172952, 390534527]",excellent,concrete,designated,-1,no,yes,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34080819,"LINESTRING (-112.0794587 33.5674756, -112.0792188 33.5673018, -112.07917 33.5672437, -112.079165 33.5671896, -112.0791734 33.5671548)",designated,,cycleway,designated,,,,,,"[390534527, 390534528, 390534529, 390534530, 390534531]",excellent,concrete,designated,,no,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34080975,"LINESTRING (-112.0740913 33.5629175, -112.0739964 33.5628443, -112.073834 33.5626926, -112.0737828 33.5626373, -112.0737187 33.5625495)",designated,,cycleway,designated,,,,,,"[390536348, 390536352, 390536356, 390536359, 390536366]",excellent,concrete,designated,-1,no,passage,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34080982,"LINESTRING (-112.0734145 33.5621412, -112.0734147 33.5620415, -112.0734053 33.562026, -112.0731379 33.5614346, -112.0730714 33.5612375, -112.0729701 33.5609653, -112.0729165 33.5608614, -112.0728756 33.5607915, -112.0728318 33.5607367, -112.0727554 33.5606542, -112.07267 33.5605767, -112.0725408 33.5604872, -112.0724342 33.5604261, -112.0723571 33.5603902, -112.0719164 33.5602221, -112.0714379 33.5600387, -112.071106 33.5599172, -112.0705217 33.5596891, -112.0702118 33.5595726, -112.069827 33.5594252, -112.0695375 33.5593169, -112.0689917 33.5591052, -112.0687929 33.5590321, -112.0684482 33.558891, -112.0680286 33.5587361, -112.0677013 33.5586113, -112.0673974 33.5584936, -112.0671994 33.5584098, -112.0663717 33.5580992, -112.0661429 33.5580101, -112.0660141 33.5579606, -112.0659315 33.5579297, -112.0658389 33.557918, -112.0657921 33.5579037, -112.06576 33.5578906)",designated,,cycleway,designated,,,,,,"[3812755330, 390536372, 3812755329, 390540400, 390540402, 3852304602, 390540403, 3852304592, 390540404, 390540405, 390540406, 3852304566, 390540408, 3852304564, 390540409, 3852304559, 390540411, 3852304455, 390540412, 3852304452, 390540413, 3852304446, 390540415, 390540416, 390540418, 3852304441, 390540424, 3852304439, 390540433, 3852304436, 390540441, 390540447, 3852304435, 3079694826, 3852304434]",good,asphalt,designated,,no,,3.048,lane,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34081072,"LINESTRING (-112.0746158 33.5633, -112.0745401 33.563331, -112.0744932 33.5633532, -112.0743801 33.5633931, -112.0742977 33.5634173, -112.0742127 33.5634333, -112.074209 33.5633569, -112.0741525 33.563357, -112.0740961 33.5633572, -112.0740396 33.5633573)",designated,,cycleway,designated,,,,,,"[390537745, 3812755338, 390537747, 390537748, 390537749, 390537750, 390537751, 390537752, 390537753, 390537754]",,paved,designated,,no,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34081273,"LINESTRING (-112.0654186 33.5577579, -112.0651287 33.5576479)",designated,,cycleway,designated,,,,,,"[390540389, 390540390]",excellent,concrete,designated,-1,no,yes,3.048,lane,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34081276,"LINESTRING (-112.0647288 33.5574997, -112.0646716 33.5574786, -112.0645885 33.557405, -112.0645086 33.5573677, -112.0642028 33.5572514, -112.0637859 33.5570942, -112.063384 33.5569543, -112.0632322 33.5568991, -112.0630654 33.5568274, -112.062959 33.5567722, -112.0628778 33.5567289, -112.0627799 33.5566648, -112.0626998 33.5566145, -112.0625902 33.5565294, -112.0625341 33.5564791, -112.0623924 33.5563347, -112.062339 33.5562715, -112.0622775 33.5561935, -112.0621139 33.5559557, -112.0619087 33.555655, -112.0618205 33.5555236, -112.0617745 33.5554483, -112.0617382 33.5553668, -112.0617061 33.5552799, -112.0616575 33.5551343, -112.0616441 33.5550229, -112.0616158 33.5547619, -112.0616083 33.5546274, -112.0615992 33.5544269, -112.061588 33.5542452, -112.0615773 33.5540313, -112.0615422 33.5535131, -112.0615036 33.5534476, -112.0614862 33.5534117, -112.0614802 33.5533733, -112.0614734 33.5533323)",designated,,cycleway,designated,,,,,,"[4877174001, 390540391, 390540393, 3852304431, 3852304430, 3852304429, 3852304428, 391215701, 391215702, 3852304427, 391215703, 3852304426, 391215704, 3852304425, 391215705, 3852304424, 391215706, 391215707, 3852304423, 3852304422, 391215708, 3852304421, 391215709, 391215710, 3852304420, 391215711, 3852304419, 391215712, 3852304418, 3085586256, 391215713, 391215714, 3852304417, 3852304416, 3852304415, 3085586247]",good,asphalt,designated,,no,,3.048,lane,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
